2024-04-17 13:06:26,594 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:06:34,795 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:06:42,779 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:06:51,064 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:06:59,219 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:07,752 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:15,688 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:24,225 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:32,221 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:40,314 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:48,649 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:07:56,532 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:04,533 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:12,502 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:20,886 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:28,709 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:36,445 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:44,663 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:08:52,898 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:00,851 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
